time,x,y,z,direction_x,direction_y,direction_z
0.0,0.0,10.0,500.0,0.0,-0.019996001199600138,-0.999800059980007
0.5,146.78307232810002,59.5,451.75184524019795,-0.3066207857166544,-0.12429183052771088,-0.9436817443558884
1.0,264.50336353161293,109.0,364.0576474687264,-0.5712655737054372,-0.23541457735168086,-0.7862796074357564
1.5,343.83222260935264,158.5,249.80873222430108,-0.7580180636632834,-0.3494316564597698,-0.5507323602476505
2.0,380.4226065180614,208.0,123.60679774997898,-0.8437933201807037,-0.4613527366419895,-0.2741650692764698
2.5,375.0,257.5,2.2962127484012872e-14,-0.8243624990596857,-0.5660622493543176,-5.0477644790527855e-17
3.0,332.8697807033038,307.0,-108.15594803123157,-0.7149831693404601,-0.6594165217513922,0.23231211419374287
3.5,262.93052317185794,356.5,-191.03020699505373,-0.5450379185966377,-0.7390013743390991,0.3959932272359812
4.0,176.33557568774197,406.0,-242.7050983124842,-0.34930881883681064,-0.8042584707857323,0.48078234290812655
4.5,84.97967345311056,455.5,-261.5405419811672,-0.1597133048421506,-0.856080135395445,0.49154700898053943
5.0,3.061616997868383e-14,505.0,-250.0,-5.4332776404371715e-17,-0.8961947919452745,0.44366078809172005
5.5,-69.52882373436323,554.5,-213.9877161664095,0.11618915735234628,-0.9266212815280853,0.35759345678158083
6.0,-117.5570504584946,604.0,-161.80339887498948,0.18476505954701097,-0.9493101054436214,0.25430728749528575
6.5,-141.57797401561578,653.5,-102.86241915118282,0.20927207771888212,-0.965964541731648,0.15204506438681104
7.0,-142.65847744427305,703.0,-46.35254915624214,0.1984607240813107,-0.9779852661308654,0.06448379818266214
7.5,-125.0,752.5,-2.2962127484012872e-14,0.16386750127671035,-0.9864823576857963,3.010197163841972e-17
8.0,-95.10565162951534,802.0,30.901699437494713,0.11767437701633673,-0.992315900791468,-0.0382347228345446
8.5,-60.67627457812108,851.5,44.08389392193548,0.07098328846719243,-0.996143394598074,-0.05157237784908774
9.0,-29.38926261462366,901.0,40.45084971874736,0.03256838366882942,-0.9984637610817128,-0.04482653446074542
9.5,-7.725424859373699,950.5,23.77641290737886,0.008124938506046609,-0.9996542831721215,-0.025005989480620928
10.0,0.0,1000.0,0.0,0.0,-1.0,0.0
